"Payee","Amount","Date","Description","Directorate"
"Cora Foundation",202798.05,"11-05-2010","Res Accomm for Sentenced Children","Justice Directorate"
"Cora Foundation",44605.8,"11-05-2010","Res Accomm for Sentenced Children","Justice Directorate"
"Cora Foundation",180000,"11-05-2010","Res Accomm for Sentenced Children","Justice Directorate"
"Grampian Fire & Rescue Service",323167,"11-05-2010","Fire Pensions","Police & Community Safety"
"Falkirk Council",279750,"11-05-2010","Fire Pensions","Police & Community Safety"
"Dumfries and Galloway Council",90167,"11-05-2010","Fire Pensions","Police & Community Safety"
"Strathclyde Fire Brigade",2607250,"11-05-2010","Fire Pensions","Police & Community Safety"
"Tayside Fire Board",450000,"11-05-2010","Fire Pensions","Police & Community Safety"
"Fife Council",411083,"11-05-2010","Fire Pensions","Police & Community Safety"
"Highland Council, The",191000,"11-05-2010","Fire Pensions","Police & Community Safety"
"Midlothian Council",2977596,"11-05-2010","General Revenue Grant","Public Service Reform"
"Falkirk Council",5404000,"11-05-2010","General Revenue Grant","Public Service Reform"
"West Dunbartonshire Council",3934827,"11-05-2010","General Revenue Grant","Public Service Reform"
"Inverclyde Council",3374269,"11-05-2010","General Revenue Grant","Public Service Reform"
"Argyll and Bute Council",4260904,"11-05-2010","General Revenue Grant","Public Service Reform"
"Aberdeen City Council",6585135,"11-05-2010","General Revenue Grant","Public Service Reform"
"East Dunbartonshire Council",3557442,"11-05-2010","General Revenue Grant","Public Service Reform"
"Comhairle Nan Eilean Siar",2161654,"11-05-2010","General Revenue Grant","Public Service Reform"
"West Lothian Council",5845596,"11-05-2010","General Revenue Grant","Public Service Reform"
"North Lanarkshire Council",12293212,"11-05-2010","General Revenue Grant","Public Service Reform"
"Clackmannanshire Council",1867538,"11-05-2010","General Revenue Grant","Public Service Reform"
"Perth and Kinross Council",4860923,"11-05-2010","General Revenue Grant","Public Service Reform"
"South Ayrshire Council",3971115,"11-05-2010","General Revenue Grant","Public Service Reform"
"Scottish Borders Council",4225538,"11-05-2010","General Revenue Grant","Public Service Reform"
"Dundee City Council",5812577,"11-05-2010","General Revenue Grant","Public Service Reform"
"Stirling Council",3349923,"11-05-2010","General Revenue Grant","Public Service Reform"
"Fife Council",12641808,"11-05-2010","General Revenue Grant","Public Service Reform"
"East Ayrshire Council",4494538,"11-05-2010","General Revenue Grant","Public Service Reform"
"Moray Council",3159962,"11-05-2010","General Revenue Grant","Public Service Reform"
"Orkney Islands Council",1405404,"11-05-2010","General Revenue Grant","Public Service Reform"
"Renfrewshire Council",6311354,"11-05-2010","General Revenue Grant","Public Service Reform"
"Angus Council",4035923,"11-05-2010","General Revenue Grant","Public Service Reform"
"Highland Council, The",9192519,"11-05-2010","General Revenue Grant","Public Service Reform"
"Shetland Islands Council",1833462,"11-05-2010","General Revenue Grant","Public Service Reform"
"Glasgow City Council",26009250,"11-05-2010","General Revenue Grant","Public Service Reform"
"City of Edinburgh Council",14706577,"11-05-2010","General Revenue Grant","Public Service Reform"
"East Renfrewshire Council",3408962,"11-05-2010","General Revenue Grant","Public Service Reform"
"Aberdeenshire Council",8009115,"11-05-2010","General Revenue Grant","Public Service Reform"
"North Ayrshire Council",5309865,"11-05-2010","General Revenue Grant","Public Service Reform"
"East Lothian Council",3279923,"11-05-2010","General Revenue Grant","Public Service Reform"
"South Lanarkshire Council",11054904,"11-05-2010","General Revenue Grant","Public Service Reform"
"Dumfries and Galloway Council",5915577,"11-05-2010","General Revenue Grant","Public Service Reform"
"Institute Of Occupational Medicine",27598.25,"12-05-2010","C of E/EHH Payments","Rural & Environmental Research & Analysis"
"Scottish Agricultural College",625000,"12-05-2010","Sac- Grant In Aid","Rural & Environmental Research & Analysis"
"AEA Technology Environment",233333.33,"12-05-2010","Zero Waste Scotland","Environmental Quality"
"United Auctions Limited",28597.6,"12-05-2010","Stud Farm Pur Bulls","Rural Directorate"
"Clackmannanshire Council",69429.13,"12-05-2010","Warm Deal Cap Grts to LAs","Housing & Regeneration"
"Atrium Homes",29540,"12-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Atrium Homes",53564.99,"12-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Atrium Homes",110386.55,"12-05-2010","Affordable Housing Grant","Housing & Regeneration"
"The Blue Triangle H A Limited",52150.07,"12-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Almond Housing Association Limited",58399.68,"12-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Almond Housing Association Limited",358740.89,"12-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Kingdom Housing Association limited",32792,"12-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Almond Housing Association Limited",159457.91,"12-05-2010","Affordable Housing Grant","Housing & Regeneration"
"National Library Of Scotland",50000,"12-05-2010","Major Projects","Culture, External Affairs and Tourism"
"National Library Of Scotland",109000,"12-05-2010","Monthly grant for additions to collections","Culture, External Affairs and Tourism"
"National Library Of Scotland",1068000,"12-05-2010","Running Costs","Culture, External Affairs and Tourism"
"SCRA",1295000,"12-05-2010","Scottish Children's Reporter Administration Resource","Children, Young People and Social Care"
"RM Education plc",489583.73,"12-05-2010","Glow","Learning Directorate"
"LINC Scotland",96996.41,"12-05-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"UHI Millennium Institute",53473.3,"12-05-2010","Re-distribution of Discretionary Funds (Access Funds) to UHI.","Lifelong Learning"
"Inverclyde Council",46220,"12-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Glasgow City Council",456360,"12-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Glasgow City Council",273080,"12-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Midlothian Council",28660,"12-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Loganair Limited",162601.92,"12-05-2010","Lifeline Air Services Grants","Transport Directorate"
"British Waterways Scotland",121600,"12-05-2010","British Waterways Board - Capital","Transport Directorate"
"British Waterways Scotland",486400,"12-05-2010","British Waterways Board - Resource","Transport Directorate"
"British Lung Foundation",42000,"12-05-2010","Managed Clinical Networks","Healthcare Policy and Strategy"
"Arthritis Care",27000,"12-05-2010","Section 16b grants","Healthcare Policy and Strategy"
"Dumfries and Galloway Council",57912.72,"12-05-2010","ICT Operating","Police & Community Safety"
"Fife Council",155417.55,"12-05-2010","ICT Operating","Police & Community Safety"
"Strathclyde Police",1159948.32,"12-05-2010","ICT Operating","Police & Community Safety"
"Grampian Joint Police Board",202846.6,"12-05-2010","ICT Operating","Police & Community Safety"
"Lothian and Borders Joint Police Board",848875.78,"12-05-2010","ICT Operating","Police & Community Safety"
"Northern Joint Police Board",165042.94,"12-05-2010","ICT Operating","Police & Community Safety"
"Tayside Joint Police Board",242896.57,"12-05-2010","ICT Operating","Police & Community Safety"
"Fife Council",112264,"12-05-2010","POLICE ICT CAPITAL","Police & Community Safety"
"Tayside Joint Police Board",113887.56,"12-05-2010","POLICE ICT CAPITAL","Police & Community Safety"
"Grampian Joint Police Board",64437.16,"12-05-2010","POLICE ICT CAPITAL","Police & Community Safety"
"Strathclyde Police",53801.2,"12-05-2010","POLICE ICT CAPITAL","Police & Community Safety"
"Central Scotland Joint Police Board",72022.13,"12-05-2010","POLICE ICT CAPITAL","Police & Community Safety"
"Lothian and Borders Joint Police Board",61429.27,"12-05-2010","POLICE ICT CAPITAL","Police & Community Safety"
"Scottish Police Federation",97665,"12-05-2010","Scotish Police Federation","Police & Community Safety"
"Sodexo Limited",53658.52,"12-05-2010","Outsourced Services e.g. Catering, Cleaning, etc","Human Resources & Corporate Services"
"NVT Group Limited",25283.45,"12-05-2010","System Support Costs - Other","Human Resources & Corporate Services"
"Carlson Wagonlit Travel UK Limited",69586.73,"12-05-2010","Scottish Government travel booked by appointed SG travel agent","Human Resources & Corporate Services"
"Opportunity International",200000,"12-05-2010","International Development","Culture, External Affairs and Tourism"
"Sense Scotland",111594,"12-05-2010","International Development","Culture, External Affairs and Tourism"
"University Of Strathclyde",158554,"12-05-2010","International Development","Culture, External Affairs and Tourism"
"SEPA",3000000,"13-05-2010","SEPA Grant in Aid - Operational Expenditure","Environmental Quality"
"Waste and Resources Action Programme",43684,"13-05-2010","Zero Waste Scotland","Environmental Quality"
"Waste and Resources Action Programme",47633,"13-05-2010","Zero Waste Scotland","Environmental Quality"
"Waste and Resources Action Programme",978542,"13-05-2010","Zero Waste Scotland","Environmental Quality"
"Waste and Resources Action Programme",51900,"13-05-2010","Zero Waste Scotland","Environmental Quality"
"Waste and Resources Action Programme",187134,"13-05-2010","Zero Waste Scotland","Environmental Quality"
"Sea Fish Industry Authority",44574.85,"13-05-2010","Grants for costs of local co-ordinators- In-Shore Fisheries Group","Marine Scotland Directorate"
"West of Scotland Housing Association Limited",29085.5,"13-05-2010","Affordable Housing Grant","Housing & Regeneration"
"West Highland Housing Association Limited",107935.89,"13-05-2010","Affordable Housing Grant","Housing & Regeneration"
"National Museums Of Scotland",1773000,"13-05-2010","Running Costs","Culture, External Affairs and Tourism"
"Clintec International Limited",90000,"13-05-2010","Regional Selective Assistance Grant Instalment","Business, Enterprise and Energy"
"South Ayrshire Council",59065,"13-05-2010","Reimbursement of Education Maintenance Allowance","Lifelong Learning"
"Scottish Enterprise",109624,"13-05-2010","Air Route Development Grant","Transport Directorate"
"COI Communications",69709.23,"13-05-2010","National H1N1 Pandemic Flu Communications Campaign","Health Delivery"
"University Of Dundee",60668,"13-05-2010","Biomedical & Therapeutic Resch","Chief Medical Officer"
"University Of Glasgow",31976.8,"13-05-2010","Uk Inst - Cso/Mrc Jnt Fell","Chief Medical Officer"
"Men's Health Forum",41614,"13-05-2010","Keep Well","Public Health and Health Improvement"
"Serco Home Affairs - Scottish EM",567711.48,"13-05-2010","Electronic Tagging","Justice Directorate"
"Sodexo Limited",27178.28,"13-05-2010","Catering Contract","Police & Community Safety"
"Grampian Fire & Rescue Service",124167,"13-05-2010","Fire LA Capital","Police & Community Safety"
"Dumfries and Galloway Council",40833,"13-05-2010","Fire LA Capital","Police & Community Safety"
"Tayside Fire Board",110917,"13-05-2010","Fire LA Capital","Police & Community Safety"
"Falkirk Council",73333,"13-05-2010","Fire LA Capital","Police & Community Safety"
"City of Edinburgh Council",170583,"13-05-2010","Fire LA Capital","Police & Community Safety"
"Highland Council, The",153000,"13-05-2010","Fire LA Capital","Police & Community Safety"
"Fife Council",80333,"13-05-2010","Fire LA Capital","Police & Community Safety"
"Strathclyde Fire Brigade",498917,"13-05-2010","Fire LA Capital","Police & Community Safety"
"City of Edinburgh Council",539833,"13-05-2010","Fire Pensions","Police & Community Safety"
"Tayside Joint Police Board",2987319,"13-05-2010","Grants To Police Auth Etc","Police & Community Safety"
"Grampian Joint Police Board",3903413,"13-05-2010","Grants To Police Auth Etc","Police & Community Safety"
"Northern Joint Police Board",2098038,"13-05-2010","Grants To Police Auth Etc","Police & Community Safety"
"Lothian and Borders Joint Police Board",7115063,"13-05-2010","Grants To Police Auth Etc","Police & Community Safety"
"Fife Council",2424500,"13-05-2010","Grants To Police Auth Etc","Police & Community Safety"
"Strathclyde Police",18162219,"13-05-2010","Grants To Police Auth Etc","Police & Community Safety"
"Central Scotland Joint Police Board",1960725,"13-05-2010","Grants To Police Auth Etc","Police & Community Safety"
"Dumfries and Galloway Council",1139694,"13-05-2010","Grants To Police Auth Etc","Police & Community Safety"
"Fife Council",64891,"13-05-2010","Police Grants On Loan Charges","Police & Community Safety"
"Strathclyde Police",237188,"13-05-2010","Police Grants On Loan Charges","Police & Community Safety"
"Grampian Joint Police Board",58439,"13-05-2010","Police Grants On Loan Charges","Police & Community Safety"
"Northern Joint Police Board",69727,"13-05-2010","Police Grants On Loan Charges","Police & Community Safety"
"Lothian and Borders Joint Police Board",89866,"13-05-2010","Police Grants On Loan Charges","Police & Community Safety"
"Tayside Joint Police Board",61949,"13-05-2010","Police Grants On Loan Charges","Police & Community Safety"
"Central Scotland Joint Police Board",49725,"13-05-2010","Police Grants On Loan Charges","Police & Community Safety"
"Lothian and Borders Joint Police Board",2812750,"13-05-2010","Police Pensions","Police & Community Safety"
"Central Scotland Joint Police Board",729750,"13-05-2010","Police Pensions","Police & Community Safety"
"Northern Joint Police Board",510750,"13-05-2010","Police Pensions","Police & Community Safety"
"Strathclyde Police",8024083,"13-05-2010","Police Pensions","Police & Community Safety"
"Grampian Joint Police Board",1075667,"13-05-2010","Police Pensions","Police & Community Safety"
"Tayside Joint Police Board",1138917,"13-05-2010","Police Pensions","Police & Community Safety"
"Fife Council",944083,"13-05-2010","Police Pensions","Police & Community Safety"
"Dumfries and Galloway Council",376333,"13-05-2010","Police Pensions","Police & Community Safety"
"Scottish Rugby Union Plc",90000,"13-05-2010","Cashback for Communities","Police & Community Safety"
"Backmuir Trading LTD",33295.76,"13-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Cable and Wireless Communications",123832.33,"13-05-2010","Telecommunications","Human Resources & Corporate Services"
"Cambridge Leadership Associates",30640.5,"13-05-2010","Dev & Corporate Training Fees","Human Resources & Corporate Services"
"Logica UK Limited",29627.71,"13-05-2010","Payroll Charges","Human Resources & Corporate Services"
"Scottish Futures Trust Limited",314549.52,"13-05-2010","Scottish Futures Trust","Finance"
"West Dunbartonshire Council",503417,"13-05-2010","General Capital Grant","Public Service Reform"
"South Ayrshire Council",447667,"13-05-2010","General Capital Grant","Public Service Reform"
"Shetland Islands Council",316500,"13-05-2010","General Capital Grant","Public Service Reform"
"Scottish Borders Council",536251,"13-05-2010","General Capital Grant","Public Service Reform"
"East Ayrshire Council",349501,"13-05-2010","General Capital Grant","Public Service Reform"
"Fife Council",1411501,"13-05-2010","General Capital Grant","Public Service Reform"
"Falkirk Council",633000,"13-05-2010","General Capital Grant","Public Service Reform"
"North Lanarkshire Council",1264250,"13-05-2010","General Capital Grant","Public Service Reform"
"City of Edinburgh Council",2928416,"13-05-2010","General Capital Grant","Public Service Reform"
"East Dunbartonshire Council",353917,"13-05-2010","General Capital Grant","Public Service Reform"
"Dundee City Council",1041667,"13-05-2010","General Capital Grant","Public Service Reform"
"Angus Council",511417,"13-05-2010","General Capital Grant","Public Service Reform"
"Perth and Kinross Council",671667,"13-05-2010","General Capital Grant","Public Service Reform"
"Clackmannanshire Council",232416,"13-05-2010","General Capital Grant","Public Service Reform"
"Aberdeen City Council",1114167,"13-05-2010","General Capital Grant","Public Service Reform"
"Highland Council, The",1317667,"13-05-2010","General Capital Grant","Public Service Reform"
"Glasgow City Council",4511667,"13-05-2010","General Capital Grant","Public Service Reform"
"Comhairle Nan Eilean Siar",499250,"13-05-2010","General Capital Grant","Public Service Reform"
"Aberdeenshire Council",926667,"13-05-2010","General Capital Grant","Public Service Reform"
"West Lothian Council",647750,"13-05-2010","General Capital Grant","Public Service Reform"
"Inverclyde Council",374834,"13-05-2010","General Capital Grant","Public Service Reform"
"Argyll and Bute Council",660499,"13-05-2010","General Capital Grant","Public Service Reform"
"Stirling Council",431334,"13-05-2010","General Capital Grant","Public Service Reform"
"South Lanarkshire Council",1188250,"13-05-2010","General Capital Grant","Public Service Reform"
"East Renfrewshire Council",196167,"13-05-2010","General Capital Grant","Public Service Reform"
"Dumfries and Galloway Council",771584,"13-05-2010","General Capital Grant","Public Service Reform"
"Midlothian Council",383167,"13-05-2010","General Capital Grant","Public Service Reform"
"East Lothian Council",459499,"13-05-2010","General Capital Grant","Public Service Reform"
"Renfrewshire Council",818667,"13-05-2010","General Capital Grant","Public Service Reform"
"Orkney Islands Council",325583,"13-05-2010","General Capital Grant","Public Service Reform"
"North Ayrshire Council",467084,"13-05-2010","General Capital Grant","Public Service Reform"
"Moray Council",1542334,"13-05-2010","General Capital Grant","Public Service Reform"
"Intermap Technologies Incorporated",56935.92,"13-05-2010","One Scotland Mapping Agreement","Public Service Reform"
"Youth Scotland",50735,"14-05-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Real Time Engineering Limited",44303.96,"14-05-2010","European Structural Funds 2007-2013 Programme Administration","Business, Enterprise and Energy"
"Highlands and Islands Enterprise",263295.71,"14-05-2010","European Regional Development Fund: Highland and Islands 2007-2013 Programme","Business, Enterprise and Energy"
"Dundee College",26719.35,"14-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Right Track (Scotland) Limited",35103.37,"14-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"SeeByte Limited",40440,"14-05-2010","Smart: Scotland Grant Instalment","Business, Enterprise and Energy"
"Amor Business Technology Solutions Limited",230000,"14-05-2010","Regional Selective Assistance Grant Instalment","Business, Enterprise and Energy"
"Borders Health Board",2500000,"14-05-2010","Cash Advances To Health Boards","Health Finance"
"The NHS Information Centre for Health and Social Care",25423.45,"14-05-2010","Dentists' Working Hours Survey","Primary & Community Care"
"Marie Curie Cancer Care",54000,"14-05-2010","Section 16b grants","Healthcare Policy and Strategy"
"Marie Curie Cancer Care",26000,"14-05-2010","Section 16b grants","Healthcare Policy and Strategy"
"Scottish Legal Aid Board",3353000,"14-05-2010","Legal Aid Fund","Justice Directorate"
"Tayside Joint Police Board",341692.05,"14-05-2010","SPSA Grant in Aid","Police & Community Safety"
"Lothian and Borders Joint Police Board",1194146.56,"14-05-2010","SPSA Grant in Aid","Police & Community Safety"
"Grampian Joint Police Board",285352.19,"14-05-2010","SPSA Grant in Aid","Police & Community Safety"
"Fife Council",218631.91,"14-05-2010","SPSA Grant in Aid","Police & Community Safety"
"Northern Joint Police Board",232172.31,"14-05-2010","SPSA Grant in Aid","Police & Community Safety"
"Strathclyde Police",1631804.06,"14-05-2010","SPSA Grant in Aid","Police & Community Safety"
"Dumfries and Galloway Council",81468.08,"14-05-2010","SPSA Grant in Aid","Police & Community Safety"
"Midbigging Farms",36000,"14-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Fraser G Angus",106576.13,"14-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Ross Farms Co Ltd",25495.75,"14-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"K & I Millar & Sons Ltd",72040.83,"14-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"W S & J Whiteford",46381.51,"14-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Balgreggan Farms Ltd",53998,"14-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"J Rhind & Co",34380.5,"14-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Camlin (Pentland) Limited",323125,"14-05-2010","Accommodation charge incl. rent, rates etc","Human Resources & Corporate Services"
"Reith Lambert Limited",89322.88,"14-05-2010","Accommodation charge incl. rent, rates etc","Human Resources & Corporate Services"
"Edinburgh Voluntary Organisations Council",26450,"14-05-2010","Localism - funding which supports the third sector","Public Service Reform"
"Macaulay Land Use Research Institute",182810.54,"17-05-2010","Employers Contributions","Rural & Environmental Research & Analysis"
"Sopra Group Limited",560991.08,"17-05-2010","Provision of IT services","Rural Payments & Inspections Directorate"
"British Gas Trading Limited t/a British Gas Business",33896.49,"17-05-2010","Central Heating Initiative-Cap Grt to Priv Sect","Housing & Regeneration"
"Lochaber Housing Association Limited",70401.33,"17-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Grampian Housing Association Limited",472961.97,"17-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Langstane H A limited",137014.85,"17-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Langstane H A limited",47182.78,"17-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Langstane H A limited",348652.5,"17-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Grampian Housing Association Limited",332171.49,"17-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Grampian Housing Association Limited",583936.97,"17-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Langstane H A limited",35692.48,"17-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Scottish Funding Council for Further and Higher Education",237500,"17-05-2010","Sobhal Mor Ostaig","Culture, External Affairs and Tourism"
"Youth Scotland",30000,"17-05-2010","Youth Work","Children, Young People and Social Care"
"Momentum Scotland",142610.56,"17-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Angus College",62841.69,"17-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Blairs of Scotland",46667,"17-05-2010","Smart: Scotland Grant Instalment","Business, Enterprise and Energy"
"Skills Development Scotland Company Limited",13783000,"17-05-2010","Monthly grant-in-aid payment to Skills Development Scotland","Lifelong Learning"
"Childrens Traffic Club Scotland",80000,"17-05-2010","Childrens Traffic Club Scotland","Transport Directorate"
"Road Safety Scotland",543500,"17-05-2010","Road Safety Scotland","Transport Directorate"
"NHS National Services Scotland",170794356,"17-05-2010","Family Health Services NCL Advances","Health Finance"
"Reed Business Information Limited",48468.75,"17-05-2010","Exemplary Employer","Health Workforce"
"Penumbra",237500,"17-05-2010","Public Mental Health Improvement","Primary & Community Care"
"Dementia Services Development Trust",26500,"17-05-2010","Section 10 Grants","Primary & Community Care"
"Scottish Commission for the Regulation of Care",144000,"17-05-2010","SCRC - Care Commission - Grant in Aid","Primary & Community Care"
"Princess Royal Trust for Carers",93164,"17-05-2010","Training and Info for unpaid Carers","Primary & Community Care"
"Consumer Focus Scotland",135552,"17-05-2010","Food and Health","Public Health and Health Improvement"
"Sportscotland",85000,"17-05-2010","Physical Activity","Public Health and Health Improvement"
"Paths for All Partnership",500000,"17-05-2010","Physical Activity","Public Health and Health Improvement"
"Living Streets",100000,"17-05-2010","Physical Activity","Public Health and Health Improvement"
"Quality Leisure Management (QLM) Limited",30000,"17-05-2010","Physical Activity","Public Health and Health Improvement"
"Kibble Safe Centre",153252,"17-05-2010","Res Accomm for Sentenced Children","Justice Directorate"
"Rossie Secure Accommodation Services",98250,"17-05-2010","Res Accomm for Sentenced Children","Justice Directorate"
"Colliers Conrad Ritblat",41065.66,"17-05-2010","Accommodation charge incl. rent, rates etc","Human Resources & Corporate Services"
"Pertemps Group Of Companies, The",85351.59,"17-05-2010","Agency Casual Staff Costs","Human Resources & Corporate Services"
"Clyde Gateway",270542,"18-05-2010","Urban Regeneration Companies","Housing & Regeneration"
"Clyde Gateway",92550.5,"18-05-2010","Urban Regeneration Companies","Housing & Regeneration"
"Link Group Limited",58241.82,"18-05-2010","Affordable Housing Grant","Housing & Regeneration"
"North Ayrshire Council",90000,"18-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"University Of Glasgow",28508.63,"18-05-2010","Children's Hearings","Children, Young People and Social Care"
"University Of Edinburgh",172500,"18-05-2010","Teacher Training","Learning Directorate"
"Highlands and Islands Enterprise",2200000,"18-05-2010","Grant in Aid Payment to Highlands and Islands Enterprise","Business, Enterprise and Energy"
"Robert Gordon University, The",70155,"18-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Women Onto Work",55256.07,"18-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Dr D F & Mrs R Berardelli",33603.84,"18-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Consolidated PR",72222.73,"18-05-2010","Strategic Communications - Active Nation Scottish Cup","Communications Directorate"
"North Ayrshire Council",5309865,"18-05-2010","General Revenue Grant","Public Service Reform"
"Clackmannanshire Council",1867538,"18-05-2010","General Revenue Grant","Public Service Reform"
"West Lothian Council",5845596,"18-05-2010","General Revenue Grant","Public Service Reform"
"Perth and Kinross Council",4860923,"18-05-2010","General Revenue Grant","Public Service Reform"
"North Lanarkshire Council",12293212,"18-05-2010","General Revenue Grant","Public Service Reform"
"Midlothian Council",2977596,"18-05-2010","General Revenue Grant","Public Service Reform"
"Dumfries and Galloway Council",5915577,"18-05-2010","General Revenue Grant","Public Service Reform"
"Highland Council, The",9192519,"18-05-2010","General Revenue Grant","Public Service Reform"
"East Ayrshire Council",4494538,"18-05-2010","General Revenue Grant","Public Service Reform"
"City of Edinburgh Council",14706577,"18-05-2010","General Revenue Grant","Public Service Reform"
"Falkirk Council",5404000,"18-05-2010","General Revenue Grant","Public Service Reform"
"Argyll and Bute Council",4260904,"18-05-2010","General Revenue Grant","Public Service Reform"
"Stirling Council",3349923,"18-05-2010","General Revenue Grant","Public Service Reform"
"Inverclyde Council",3374269,"18-05-2010","General Revenue Grant","Public Service Reform"
"Dundee City Council",5812577,"18-05-2010","General Revenue Grant","Public Service Reform"
"South Lanarkshire Council",11054904,"18-05-2010","General Revenue Grant","Public Service Reform"
"Fife Council",12641808,"18-05-2010","General Revenue Grant","Public Service Reform"
"Shetland Islands Council",1833462,"18-05-2010","General Revenue Grant","Public Service Reform"
"Angus Council",4035923,"18-05-2010","General Revenue Grant","Public Service Reform"
"Moray Council",3159962,"18-05-2010","General Revenue Grant","Public Service Reform"
"Glasgow City Council",26009250,"18-05-2010","General Revenue Grant","Public Service Reform"
"West Dunbartonshire Council",3934827,"18-05-2010","General Revenue Grant","Public Service Reform"
"Orkney Islands Council",1405404,"18-05-2010","General Revenue Grant","Public Service Reform"
"Aberdeen City Council",6585135,"18-05-2010","General Revenue Grant","Public Service Reform"
"South Ayrshire Council",3971115,"18-05-2010","General Revenue Grant","Public Service Reform"
"East Renfrewshire Council",3408962,"18-05-2010","General Revenue Grant","Public Service Reform"
"East Lothian Council",3279923,"18-05-2010","General Revenue Grant","Public Service Reform"
"Scottish Borders Council",4225538,"18-05-2010","General Revenue Grant","Public Service Reform"
"Aberdeenshire Council",8009115,"18-05-2010","General Revenue Grant","Public Service Reform"
"Comhairle Nan Eilean Siar",2161654,"18-05-2010","General Revenue Grant","Public Service Reform"
"Renfrewshire Council",6311354,"18-05-2010","General Revenue Grant","Public Service Reform"
"East Dunbartonshire Council",3557442,"18-05-2010","General Revenue Grant","Public Service Reform"
"British Gas Trading Limited t/a British Gas Business",453032.03,"19-05-2010","EAP-Managing Agent","Housing & Regeneration"
"Stirling Council",223821.22,"19-05-2010","Warm Deal Cap Grts to LAs","Housing & Regeneration"
"Scottish Association Of Sign Language Interpreters (SASLI)",124000,"19-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Grampian Construction Limited",35375,"19-05-2010","Grants for Rent and Ownership","Housing & Regeneration"
"Community Care Providers Scotland",52500,"19-05-2010","Workforce Development","Children, Young People and Social Care"
"Coach House Trust, The",43720.07,"19-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"University Of Strathclyde",32177.22,"19-05-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"North Ayrshire Council",293216.17,"19-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"University Of Glasgow",59537,"19-05-2010","Health Services Research","Chief Medical Officer"
"COSLA",114000,"19-05-2010","Health Improvement: Community","Public Health and Health Improvement"
"Scottish Athletics Limited",50000,"19-05-2010","Physical Activity","Public Health and Health Improvement"
"Scottish Youth Dance",150000,"19-05-2010","Physical Activity","Public Health and Health Improvement"
"Youth Scotland",50000,"19-05-2010","Physical Activity","Public Health and Health Improvement"
"Risk Management Authority",261082,"19-05-2010","Grant in Aid","Justice Directorate"
"Sweeny Consultadoria",208415.63,"19-05-2010","Accommodation charge incl. rent, rates etc","Human Resources & Corporate Services"
"MediaCom",31115.5,"19-05-2010","Social Advertising - Go Greener: Insulation","Communications Directorate"
