"Payee","Amount","Date","Description","Directorate"
"Raploch Urban Regeneration Company",1000000,"07-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"West Dunbartonshire Council",370499,"07-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Highland Council, The",800000,"07-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"West Dunbartonshire Council",907393,"07-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Highland Council, The",317471,"07-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Fife Council",53606,"07-04-2010","Warm Deal Cap Grts to LAs","Housing & Regeneration"
"Ayrshire Housing",461679.3,"07-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"West of Scotland Housing Association Limited",38903.7,"07-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"West of Scotland Housing Association Limited",737275.95,"07-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Clyde Valley Housing Association",63423.6,"07-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cunninghame Housing Assoc",56162.38,"07-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Oak Tree Housing Association Limited",95151.26,"07-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Argyll Community Housing Association",143574.7,"07-04-2010","COP Early Action cap grant to PS","Housing & Regeneration"
"West Dunbartonshire Env. Trust",29060.7,"07-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"West Highland Housing Association Limited",51052.47,"07-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Argyll Community Housing Association",75564.51,"07-04-2010","COP Early Action cap grant to PS","Housing & Regeneration"
"Argyll Community Housing Association",577144.63,"07-04-2010","COP Support Business Plan Cap Gr PS","Housing & Regeneration"
"Inverclyde Council",243529.58,"07-04-2010","COP Early Action cap grts to LA","Housing & Regeneration"
"Argyll Community Housing Association",242347.92,"07-04-2010","COP Early Action cap grant to PS","Housing & Regeneration"
"Castle Rock Edinvar HA",49726.03,"07-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Ochil View Housing Association Limited",181372.92,"07-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Abertay Housing Association Limited",1034213.65,"07-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",88166.82,"07-04-2010","Building works","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",77426.66,"07-04-2010","Maintenance/Repairs","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",28715.28,"07-04-2010","Building works","Human Resources & Corporate Services"
"Deloitte & Touche",30709.8,"07-04-2010","ICT S/W (ex licen) additions","Human Resources & Corporate Services"
"HFG Limited t/a BNP Paribas Lease Group",5913873.39,"07-04-2010","Scottish Public Sector Oracle Licence","Human Resources & Corporate Services"
"Insight Direct UK Limited",346948.13,"07-04-2010","It H/Ware Additions","Human Resources & Corporate Services"
"Computacenter United Kingdom Limited",84929.81,"07-04-2010","IT Hardware annual maintenance charge","Human Resources & Corporate Services"
"Carlson Wagonlit Travel UK Limited",61123.02,"07-04-2010","Scottish Government travel booked by appointed SG travel agent","Human Resources & Corporate Services"
"TMP UK Limited",28552.5,"07-04-2010","System Support Costs - Other","Human Resources & Corporate Services"
"Cora Foundation",46092.66,"07-04-2010","Res Accomm For Children","Justice Directorate"
"Cora Foundation",170855.5,"07-04-2010","Res Accomm For Children","Justice Directorate"
"Cora Foundation",196500,"07-04-2010","Res Accomm For Children","Justice Directorate"
"MOJ Tribunals Service",411965,"07-04-2010","Administration of Scottish appeals iro the Criminal Injuries Compensation Scheme","Justice Directorate"
"Digby Brown Solicitors",227034.15,"07-04-2010","Legal Costs","Justice Directorate"
"GLASGOW SCHOOL OF ART",25755,"07-04-2010","Tuition fees","Lifelong Learning"
"CLYDEBANK COLLEGE",27130,"07-04-2010","Tuition fees","Lifelong Learning"
"DUNDEE COLLEGE",30423,"07-04-2010","Tuition fees","Lifelong Learning"
"STIRLING UNIVERSITY",31430,"07-04-2010","Tuition fees","Lifelong Learning"
"EDINBURGH COLLEGE OF ART",34145,"07-04-2010","Tuition fees","Lifelong Learning"
"PAMS GLASGOW CALEDONIAN UNIVER",35545,"07-04-2010","Tuition fees","Lifelong Learning"
"ROYAL SCOT ACAD OF MUSIC & DRA",38505,"07-04-2010","Tuition fees","Lifelong Learning"
"STEVENSON COLLEGE",65535,"07-04-2010","Tuition fees","Lifelong Learning"
"UNIVERSITY OF ABERTAY DUNDEE",71762,"07-04-2010","Tuition fees","Lifelong Learning"
"QUEEN MARGARET UNIVERSITY COLL",77392,"07-04-2010","Tuition fees","Lifelong Learning"
"EDINBURGH UNIVERSITY",82140,"07-04-2010","Tuition fees","Lifelong Learning"
"HERIOT-WATT(RICCARTON CAMPUS)",95830,"07-04-2010","Tuition fees","Lifelong Learning"
"DUNDEE UNIVERSITY",156724,"07-04-2010","Tuition fees","Lifelong Learning"
"ABERDEEN UNIVERSITY",161309.5,"07-04-2010","Tuition fees","Lifelong Learning"
"UNIVERSITY OF THE WEST OF SCOT",161501,"07-04-2010","Tuition fees","Lifelong Learning"
"GLASGOW CALEDONIAN UNIVERSITY",190779,"07-04-2010","Tuition fees","Lifelong Learning"
"GLASGOW UNIVERSITY",268633,"07-04-2010","Tuition fees","Lifelong Learning"
"EDINBURGH UNI",299811,"07-04-2010","Tuition fees","Lifelong Learning"
"NAPIER UNIVERSITY",318018,"07-04-2010","Tuition fees","Lifelong Learning"
"STRATHCLYDE UNIVERSITY",430969,"07-04-2010","Tuition fees","Lifelong Learning"
"Thistle Seafoods Limited",605269,"07-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Joseph Robertson (Aberdeen) Limited",60565,"07-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Dell Computer Corporation Limited",32759,"07-04-2010","It H/Ware Additions","Marine Scotland Directorate"
"Lothian and Borders Fire Brigade",32625.03,"07-04-2010","Seconded Staff Costs","Police & Community Safety"
"Airwave Solutions Limited",131999.73,"07-04-2010","Firelink Revenue","Police & Community Safety"
"PDR PRO Limited",109803.76,"07-04-2010","Cen Train - Current","Police & Community Safety"
"Strathclyde Fire Brigade",1711000,"07-04-2010","Fire LA Capital","Police & Community Safety"
"Strathclyde Fire Brigade",3000000,"07-04-2010","Fire LA Capital","Police & Community Safety"
"Highland Council, The",800000,"07-04-2010","Fire LA Capital","Police & Community Safety"
"City of Edinburgh Council",1300000,"07-04-2010","Fire LA Capital","Police & Community Safety"
"Tayside Fire Board",343000,"07-04-2010","Fire LA Capital","Police & Community Safety"
"Fife Council",1791721,"07-04-2010","Police Special Grants","Police & Community Safety"
"Strathclyde Police",314000,"07-04-2010","Police Comm Equip - Curr","Police & Community Safety"
"Dundas & Wilson CS LLP",85122.88,"07-04-2010","CLO fees and outlays","Primary & Community Care"
"Department Of Health",265967.25,"07-04-2010","Welfare Foods","Reimburse Dept of Health re Healthy Start Scheme"
"Rocket Science UK Limited",31725,"07-04-2010","Healthy Weight Communities – Research","Public Health and Health Improvement"
"Department Of Health",909837.61,"07-04-2010","Welfare Foods","Reimburse Dept of Health re Healthy Start Scheme"
"Logica UK Limited",226011.25,"07-04-2010","National Managed Technical Service to support eCare programme","Public Service Reform"
"Sopra Group Limited",32900,"07-04-2010","Efficiency and Transformational Technologies - Capital","Public Service Reform"
"Logica UK Limited",202191.65,"07-04-2010","National Managed Technical Service to support eCare programme","Public Service Reform"
"PriceWaterhouseCoopers",118301.35,"07-04-2010","Public-social partnerships project","Public Service Reform"
"Streetwork UK Limited",50000,"07-04-2010","Third Sector Enterprise Fund","Public Service Reform"
"Community Enterprise In Strathclyde",26178.96,"07-04-2010","Third Sector Business Support","Public Service Reform"
"University of Aberdeen",1649696,"07-04-2010","SABRI Grant- Basic Research","Rural & Environmental Research & Analysis"
"Scottish Natural Heritage",7050000,"07-04-2010","Grant in Aid for April 2010","Rural and Environment"
"Scottish Council For Voluntary Organisations (SCVO)",73750,"07-04-2010","SCVO- Capacity Building","Rural Directorate"
"Scottish Natural Heritage",27683.87,"07-04-2010","Seconded Staff Costs","Rural Payments & Inspections Directorate"
"D & J Grant",117807.64,"07-04-2010","Scotland Rural Development Programme","Rural Payments & Inspections Directorate"
"Charles Smeaton & Sons",33121.57,"07-04-2010","Scotland Rural Development Programme","Rural Payments & Inspections Directorate"
"D J and A S Mclaren",34360,"07-04-2010","Scotland Rural Development Programme","Rural Payments & Inspections Directorate"
"Keep Scotland Beautiful",112649.84,"07-04-2010","Quarterly grant payment to support the delivery of the Eco-schools Scotland Programme.","Learning Directorate"
"Dumfries and Galloway Council",28000,"07-04-2010","Regional Transport Partnership Travel Plan Grant","Transport Directorate"
"SEPA",47584.95,"08-04-2010","Climate Change- Policy Dev & Imp","Energy"
"Union Advertising Agency Limited, The",302157.13,"08-04-2010","Social Advertising - Alcohol","Communications Directorate"
"MediaCom",38868.86,"08-04-2010","Social Advertising - Organ Donation","Communications Directorate"
"Merle Limited",67327.5,"08-04-2010","Social Advertising - Race","Communications Directorate"
"MediaCom",39596.15,"08-04-2010","Social Advertising - Organ Donation","Communications Directorate"
"IDOX Software Limited",80400.55,"08-04-2010","E-Planning Capital","Directorate for the Built Environment"
"IDOX Software Limited",45120,"08-04-2010","E-Planning Capital","Directorate for the Built Environment"
"Scottish Legal Aid Board",30147.5,"08-04-2010","Hepatitis C Inquiry","Healthcare Policy and Strategy"
"Orkney Housing Association Limited",59453.48,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cairn Housing Association Limited",86075.59,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Albyn H S Limited",42277.61,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Buidheann Tigheadas Loch Aills (Lochalsh & Skye)",144571,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Buidheann Tigheadas Loch Aills (Lochalsh & Skye)",452878.44,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cairn Housing Association Limited",983564.32,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Mary & Stuart Thompson",30929,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Hjaltland Housing Association Limited",71867.08,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cairn Housing Association Limited",86075.6,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Buidheann Tigheadas Loch Aills (Lochalsh & Skye)",602328.48,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cairn Housing Association Limited",26142.6,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Hjaltland Housing Association Limited",137665.15,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Buidheann Tigheadas Loch Aills (Lochalsh & Skye)",92612,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cairn Housing Association Limited",60324.19,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Hjaltland Housing Association Limited",47161.3,"08-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Tribal Consulting Limited",26666.63,"08-04-2010","Housing Markets and Supply","Housing & Regeneration"
"Methods Consulting",37012.5,"08-04-2010","ICT S/W (ex licen) additions","Human Resources & Corporate Services"
"Insight Direct UK Limited",59757.57,"08-04-2010","It H/Ware Additions","Human Resources & Corporate Services"
"TrustMarque Solutions Limited",29748.64,"08-04-2010","ICT S/W LICENCE additions","Human Resources & Corporate Services"
"Specialist Computer Centres plc",71068.7,"08-04-2010","It H/Ware Additions","Human Resources & Corporate Services"
"Logica UK Limited",31600.45,"08-04-2010","Systems Integration Services","Human Resources & Corporate Services"
"Logica UK Limited",29982.48,"08-04-2010","Systems Integration Services","Human Resources & Corporate Services"
"Scottish Legal Aid Board",1103000,"08-04-2010","Legal Aid Fund","Justice Directorate"
"Macartney Uk Limited",27451.91,"08-04-2010","FRS Mar/Fresh Lab Sci Equip","Marine Scotland Directorate"
"Pharmaceutical Press",329000,"08-04-2010","Pharmacists Pay","Primary & Community Care"
"Community Enterprise In Strathclyde",99658.8,"08-04-2010","Third Sector Business Support","Public Service Reform"
"Cairngorms National Park Authority",350000,"08-04-2010","Grant in Aid for April 2010","Rural and Environment"
"RR Donnelley Global Document Solutions formerly Astron",86633.95,"08-04-2010","Scheme Literature","Rural Payments & Inspections Directorate"
"G Reekie Group Limited",105617.23,"08-04-2010","Vehicles Additions - Tractor Gogarbank","Rural Payments & Inspections Directorate"
"GARPEL FARMS",66978.68,"08-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"MCKILL MAXWELL & CO LTD",43747.47,"08-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"C MACKENZIE T/A SCALISCRO FARM",27069.36,"08-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Scottish Enterprise",77403.55,"08-04-2010","Seconded Staff Costs","Scottish Development International"
"Scottish Enterprise",253696,"08-04-2010","Trade and Investment Scotland","Scottish Development International"
"Highlands and Islands Enterprise",6000000,"09-04-2010","Grant in Aid Payment to Highlands and Islands Enterprise","Business, Energy"
"Technology Strategy Board",178465.55,"09-04-2010","Knowledge Transfer Partnerships Programme","Business, Energy"
"Energy Saving Trust",700000,"09-04-2010","Energy Efficiency Domestic Loans Pilot","Business, Energy"
"RPS Consulting Engineering Limited",148200.11,"09-04-2010","ISLES Feasibility Study","Business, Energy"
"NHS National Services Scotland",38134.53,"09-04-2010","Seconded Staff Costs","Chief Medical Officer"
"Children's Parliament, The",46830,"09-04-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"SCRA",2777000,"09-04-2010","Scottish Children's Reporters Administration resource","Children, Young People and Social Care"
"IDOX Software Limited",57614.79,"09-04-2010","E-Planning Capital","Directorate for the Built Environment"
"Greater Glasgow Health Board",81978.67,"09-04-2010","Mental Health Delivery Plan","Health Delivery"
"NHS National Services Scotland",28874.16,"09-04-2010","Seconded Staff Costs","Health Delivery"
"Greater Glasgow Health Board",45879.76,"09-04-2010","Mental Health Delivery Plan","Health Delivery"
"British Gas Trading Limited t/a British Gas Business",179019.2,"09-04-2010","Energy Assistance Programme - Managing Agent","Housing & Regeneration"
"IPSOS MORI",165438.03,"09-04-2010","House Conditions Survey","Housing & Regeneration"
"IPSOS MORI",268049.23,"09-04-2010","House Conditions Survey","Housing & Regeneration"
"Argyll Community Housing Association",189979.29,"09-04-2010","COP Early Action cap grts to LA","Housing & Regeneration"
"Argyll Community Housing Association",216311.54,"09-04-2010","COP Early Action cap grts to LA","Housing & Regeneration"
"Link Homes Limited",28452,"09-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Link Homes Limited",33232,"09-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Link Homes Limited",33202,"09-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Link Homes Limited",88391,"09-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Kingdom Housing Association limited",191328.03,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Fife Housing Association Limited",34069.42,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Fife Housing Association Limited",146798.35,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Perthshire Housing Association Limited",190525.92,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Servite Housing Association",145000,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Hillcrest Housing Association Limited",342930.69,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Perthshire Housing Association Limited",84736.19,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Servite Housing Association",64453.52,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Hillcrest Housing Association Limited",69897.24,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Servite Housing Association",35956.38,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Ochil View Housing Association Limited",66601.15,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Link Group Limited",64101.65,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Perthshire Housing Association Limited",330182,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Servite Housing Association",45000,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Perthshire Housing Association Limited",154609.62,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",28217.54,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Angus Housing Association Limited",196835.06,"09-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Dell Computer Corporation Limited",74377.5,"09-04-2010","It H/Ware Additions","Human Resources & Corporate Services"
"TrustMarque Solutions Limited",81011.75,"09-04-2010","ICT S/W LICENCE additions","Human Resources & Corporate Services"
"Logica UK Limited",28164.75,"09-04-2010","Systems Integration Services","Human Resources & Corporate Services"
"TrustMarque Solutions Limited",362898.66,"09-04-2010","ICT S/W LICENCE additions","Human Resources & Corporate Services"
"Mark H Moore",40161.42,"09-04-2010","Dev & Corporate Training Fees","Human Resources & Corporate Services"
"Oracle Corporation UK Limited",424277.46,"09-04-2010","System Support Costs - Other","Human Resources & Corporate Services"
"Cabinet Office",48300,"09-04-2010","Scottish Government share of UK wide Civil Service staff survey","Human Resources & Corporate Services"
"Cabinet Office",26582.03,"09-04-2010","Scottish Government share of UK wide Civil Service staff survey","Human Resources & Corporate Services"
"Skills Development Scotland Company Limited",11610000,"09-04-2010","Monthly grant-in-aid payment to Skills Development Scotland","Lifelong Learning"
"Department for Business Enterprise & Regulatory Reform (BERR)",26440,"09-04-2010","Sector Skills / UK Commission for Employment and Skills","Lifelong Learning"
"University of the West of Scotland",70727.2,"09-04-2010","Access Funds","Lifelong Learning"
"Scottish Funding Council for Further and Higher Education",600000,"09-04-2010","SFHEFC - HE Capital","Lifelong Learning"
"Scottish Funding Council for Further and Higher Education",71100000,"09-04-2010","SFHEFC - FE Programme","Lifelong Learning"
"Scottish Funding Council for Further and Higher Education",105200000,"09-04-2010","SFHEFC - HE Programme","Lifelong Learning"
"Scottish Funding Council for Further and Higher Education",400000,"09-04-2010","SFHEFC - FE Capital","Lifelong Learning"
"Scottish Funding Council for Further and Higher Education",653000,"09-04-2010","SFHEFC Administration","Lifelong Learning"
"Satrosphere Limited",50250,"09-04-2010","Operational grant to Scottish Science Centres","Office of the Chief Scientific Adviser"
"Hologic UK Limited",40391.21,"09-04-2010","National Screening Programme","Public Health and Health Improvement"
"Standards Commission for Scotland, The",164022,"09-04-2010","Accommodation & Running Costs","Public Service Reform"
"Macaulay Land Use Research Institute",1459800,"09-04-2010","Mluri Gr In Aid","Rural & Environmental Research & Analysis"
"Firm of M L Hume",87704.35,"09-04-2010","Scotland Rural Development Programme","Rural Payments & Inspections Directorate"
"Natural Environment Research Council",30000,"09-04-2010","Consultancy - through a NERC/Scottish Government internship scheme leading to improved graduate career development and low cost, high value in house analysis","Permanent Secretary"
"Argyll and Bute Council",100356.97,"09-04-2010","Lifeline Air Services Other Expenditure","Transport Directorate"
"Glasgow City Council",1400482.88,"12-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"University Of Glasgow",76408.22,"12-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"University Of Edinburgh",98999.91,"12-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Scottish Out School Care Network",46868,"12-04-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Parentline (Children 1st)",29870,"12-04-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Children 1st",44843.75,"12-04-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Scottish Book Trust",945000,"12-04-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Scottish Childminding Association",40755,"12-04-2010","CYPF - Unified Voluntary Sector Fund","Children, Young People and Social Care"
"Department of Energy & Climate Change (DECC)",27145,"12-04-2010","Climate Change- Policy Dev & Imp","Energy"
"Falkirk Council",35020,"12-04-2010","Air Quality Cap Grant to LA","Environmental Quality"
"Voluntary Action Fund",1038790.5,"12-04-2010","Equality Development","Equality, Social Inclusion and Sport"
"North Lanarkshire Council",637500,"12-04-2010","Vacant & Derelict Land - Grant","Housing & Regeneration"
"Glasgow City Council",1125000,"12-04-2010","Vacant & Derelict Land - Grant","Housing & Regeneration"
"South Lanarkshire Council",475000,"12-04-2010","Vacant & Derelict Land - Grant","Housing & Regeneration"
"Highland Council, The",375000,"12-04-2010","Vacant & Derelict Land - Grant","Housing & Regeneration"
"Glasgow City Council",586000,"12-04-2010","CS City Wide Partnerships Curr Gts to Priv Sect","Housing & Regeneration"
"City of Edinburgh Council",559500,"12-04-2010","CS City Wide Partnerships Curr Gts to Priv Sect","Housing & Regeneration"
"Dundee City Council",437500,"12-04-2010","Vacant & Derelict Land - Grant","Housing & Regeneration"
"Michael Bell Associates",95084.06,"12-04-2010","Housing Voluntary Bodies","Housing & Regeneration"
"Michael Bell Associates",31472.38,"12-04-2010","Housing Voluntary Bodies","Housing & Regeneration"
"Health Protection Agency",33012.21,"12-04-2010","Private Housing Policy","Housing & Regeneration"
"Langstane H A limited",293260.37,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Langstane H A limited",39000,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Langstane H A limited",131993.58,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Langstane H A limited",114000,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Langstane H A limited",395980.73,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Tenants First Housing Co-operative",196317.34,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Langstane H A limited",44514.93,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Langstane H A limited",66432.15,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Langstane H A limited",37975,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Grampian Housing Association Limited",54400.12,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Langstane H A limited",202669.55,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Dumfries & Galloway Housing Partnership",82507.8,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Link Group Limited",46779.35,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Arklet Housing Association Limited",269045.05,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Arklet Housing Association Limited",55252,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cube Housing Association Limited",47758.98,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Argyll Community Housing Association",590423.36,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Glasgow Housing Association Limited",749237.26,"12-04-2010","GHA Reprovisioning Cap Gts to Priv Sect","Housing & Regeneration"
"Link Homes Limited",28702,"12-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Link Homes Limited",25502,"12-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Link Homes Limited",30102,"12-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Link Homes Limited",35902,"12-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Eildon Housing Association",282641.41,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Eildon Housing Association",33964.56,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Link Homes Limited",40302,"12-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Link Homes Limited",47202,"12-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Link Homes Limited",46702,"12-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Link Homes Limited",103545,"12-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Link Homes Limited",48702,"12-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Eildon Housing Association",263442.14,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Link Homes Limited",48702,"12-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Eildon Housing Association",153017.79,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Link Homes Limited",38702,"12-04-2010","Shared Equity Housing - Advances","Housing & Regeneration"
"Eildon Housing Association",28054,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",107741.41,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",154948.02,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Angus Housing Association Limited",585253.82,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Link Group Limited",71884,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Angus Housing Association Limited",412697.89,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Hillcrest Housing Association Limited",70123.63,"12-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Logica UK Limited",40206.15,"12-04-2010","Systems Integration Services","Human Resources & Corporate Services"
"Pertemps Group Of Companies, The",86534.5,"12-04-2010","Agency Casual Staff Costs","Human Resources & Corporate Services"
"Inland Revenue",178666.96,"12-04-2010","PAYE and Social Security - Fee Paid Staff","Justice Directorate"
"Aberdeen College",27392.75,"12-04-2010","Individual Learning Account 200","Lifelong Learning"
"Hjaltland Seafarms Limited",86364,"12-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Hjaltland Seafarms Limited",65055,"12-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Macartney Uk Limited",29010.85,"12-04-2010","FRS Mar/Fresh Lab Sci Equip","Marine Scotland Directorate"
"Department for Communities & Local Government (DCLG)",276469.42,"12-04-2010","Firelink Revenue","Police & Community Safety"
"Fife Council",96452,"12-04-2010","Ports Unit","Police & Community Safety"
"Health Protection Agency",106491.42,"12-04-2010","Nat Radiolog Prot Board","Public Health and Health Improvement"
"Health Protection Agency",234000,"12-04-2010","Nat Radiolog Prot Board","Public Health and Health Improvement"
"NHS National Services Scotland",361899.33,"12-04-2010","National Managed Technical Service to support eCare programme","Public Service Reform"
"Solstice Nurseries",26800,"12-04-2010","Third Sector Enterprise Fund","Public Service Reform"
"Highlands and Islands Enterprise",41081.48,"12-04-2010","Third Sector Business Support","Public Service Reform"
"CRAIGNISH CRUISES",27248.77,"12-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
